,s0,duration,Cnet_dynfb,Cnet_eller
0,0.1,10,6.65260544940999e-07,5.397544839391065e-07
1,0.1,20,3.800703100332231e-07,2.7829208652987515e-07
2,0.1,30,2.671770468318828e-07,1.866589541666288e-07
3,0.1,40,2.066137850538509e-07,1.402859629533073e-07
4,0.1,50,1.6964921743547134e-07,1.1233303414398186e-07
5,0.1,60,1.4346303132215514e-07,9.365626950732691e-08
6,0.1,70,1.2340149999200856e-07,8.029939517569417e-08
7,0.1,80,1.0778775983192181e-07,7.027434363129743e-08
8,0.1,90,9.669302948763511e-08,6.247337064197875e-08
9,0.2,10,1.4243812539639619e-05,9.43423264121331e-06
10,0.2,20,8.651590107622656e-06,4.748356530465821e-06
11,0.2,30,6.274124130871023e-06,3.167897432962557e-06
12,0.2,40,4.88701667722907e-06,2.376405951501578e-06
13,0.2,50,3.8358120939666055e-06,1.9012785639421285e-06
14,0.2,60,3.4707875970421006e-06,1.5844611468710964e-06
15,0.2,70,3.016617446096894e-06,1.3581390875255894e-06
16,0.2,80,2.6449204593353485e-06,1.1883873072946154e-06
17,0.2,90,2.3861398318020653e-06,1.0563532154844956e-06
18,0.30000000000000004,10,2.4242352500537124e-05,1.8520014539686335e-05
19,0.30000000000000004,20,1.649278778187462e-05,9.356034783933824e-06
20,0.30000000000000004,30,1.224378090100855e-05,6.241195608415183e-06
21,0.30000000000000004,40,9.882937084394064e-06,4.681566999172503e-06
22,0.30000000000000004,50,8.211734108443623e-06,3.7454501352373742e-06
23,0.30000000000000004,60,7.014153356491867e-06,3.1212843034469797e-06
24,0.30000000000000004,70,6.183507734736114e-06,2.675421332321375e-06
25,0.30000000000000004,80,5.448712374311269e-06,2.3410116273977655e-06
26,0.30000000000000004,90,4.973981791876692e-06,2.080909339697027e-06
27,0.4,10,2.946896103897766e-05,2.6765673421759158e-05
28,0.4,20,2.2353572847028762e-05,1.3837264586504453e-05
29,0.4,30,1.713758170828633e-05,9.231509588465125e-06
30,0.4,40,1.404371349620522e-05,6.9245726097707015e-06
31,0.4,50,1.1991700145710793e-05,5.5399094876921135e-06
32,0.4,60,1.0348727807018591e-05,4.616683332863329e-06
33,0.4,70,9.258350177464422e-06,3.957197972868441e-06
34,0.4,80,8.318972680725725e-06,3.4625688168139403e-06
35,0.4,90,7.432172570298801e-06,3.077850343361073e-06
36,0.5,10,3.191353350533585e-05,3.157739551565371e-05
37,0.5,20,2.5826265611571813e-05,1.8272848450639306e-05
38,0.5,30,2.1201434599228007e-05,1.2194754610585402e-05
39,0.5,40,1.7640960231201756e-05,9.147427330065745e-06
40,0.5,50,1.5209620191254192e-05,7.3182680107711e-06
41,0.5,60,1.348053128684021e-05,6.098669330187138e-06
42,0.5,70,1.1982100728458953e-05,5.227478993174281e-06
43,0.5,80,1.0449933244148126e-05,4.574067788358493e-06
44,0.5,90,9.818632497993899e-06,4.065850893179963e-06
45,0.6,10,3.2838920599737236e-05,3.281227200252879e-05
46,0.6,20,2.893714179584383e-05,2.2675746584592304e-05
47,0.6,30,2.4211217094047453e-05,1.5146649019732594e-05
48,0.6,40,2.0453086863191267e-05,1.1362047281801196e-05
49,0.6,50,1.7664150077472794e-05,9.090069464893504e-06
50,0.6,60,1.5882692065699302e-05,7.5751972426904494e-06
51,0.6,70,1.4289238168551953e-05,6.493083365205097e-06
52,0.6,80,1.2998720160278078e-05,5.681475283700819e-06
53,0.6,90,1.179231344655314e-05,5.050214813227754e-06
